nome,cidade_e_estado,contribuicoes,nota,titulo,em_companhia_de,review,imagens,nota_custo,nota_atendimento,nota_comida,nota_ambiente,is_parceria_patrocinada,data_postagem,title_len,review_len,day_of_month,is_weekday,day_of_week,month,year,pca_1,pca_2,svd_1,svd_2,tsne_1,tsne_2,nmf_1,nmf_2
MaluAndrade81,"Porto Alegre, RS",125,5,Vista em família e amigos,Amigos,"Ótima experiência. Certamente o serviço do garçom Carlos fez a diferença no nosso jantar, atendimento sensacional! Pegamos menu surpresa e foi maravilhoso!",0,,,,,False,2024-03-23,25,155,23,False,saturday,march,2024,-307.2808,-268.27765,1980.4202,-373.97552,-4.5692225,2.6450713,0.73090345,0.611863
carlos oliveira,,10,2,Não respeitam o ponto da carne pedido,Casal,"Lugar ""legalzinho"", pra tirar foto como um dos duzentos que ele abriu na cidade.
									Porém quando você pede uma carne bem passada (mesmo que seja do executivo) e ela vem quase crua, com o centro frio, tão mole que a faca (de manteiga que deram) nem corta, é inacreditável e inviável para uma segunda visita. Mas quem sabe consigo evitar algumas primeiras visitas com esse relato.
									Pedir pra voltar? Não. Pela pompa e valor, tem que vir certo de primeira. E pelo grau dos funcionários... preferi deixar a comida no prato mesmo.",0,,,,,False,2024-03-14,37,539,14,True,thursday,march,2024,-389.12177,124.258415,2037.218,-475.94534,-0.47682935,-2.9085693,1.2690712,0.18429479
viajopracomerbem,"Belo Horizonte, MG",760,5,Jacquin se superou no italiano,Família,"Restaurante agradabilíssimo por sua arquitetura e mobiliário. Apresenta um agradável menu executivo e um preço justo. Carta de vinhos e agradável com número de vinhos suficiente e ideal para uma harmonização bem realizada. A comida é primorosamente servida, com pequeno tempo de espera!
									Preço do almoço e também da carta de vinhos é justo!
									Comi uma deliciosa porqueta e recomendo demais.",5,,,,,False,2024-02-04,30,405,4,False,sunday,february,2024,346.7371,-73.2229,2184.3547,247.43637,1.4168462,2.9800014,0.57655126,0.71674585
mauro g,,1,4,Bom mais denorado,Família,"Muito bom, porém muito demorado , levitando em conta que era um menu executivo.  Levamos 2 horas e meia. Os pratos estavam bons.",0,,,,,False,2024-01-28,17,128,28,False,sunday,january,2024,-433.1381,-284.70422,1945.2792,-494.76733,-6.4377947,2.2698712,0.9999362,0.41196984
Vera Mundie,"São Paulo, SP",356,2,"Não voltaremos, muito ruim!",Amigos,"O lugar é um espaço - modelo “ um longo corredor” e na entrada deste corredor, fica acumulado entrada e saída dos clientes e no mesmo lugar, fica a bancada de bebidas, arrumação dos pratos, e a saída da cozinha. Uma confusão! Para os garçons chegarem até o fundo, eles correm dentro do ambiente para dar conta do - ir e vir - mais rápido, horrível. Atendimento nota zero, uma água levou uma hora para trazerem; pedimos o executivo do domingo ( degustação com vinhos inclusos) para ser mais rápido, não deu certo e a comida fraca. Uma mini entrada de salmão sem frescor algum, e o prato principal, igualmente. Não curtimos, saímos muito irritados por esta péssima experiência.",2,,,,,False,2024-01-16,27,675,16,True,tuesday,january,2024,-32.792797,230.16054,2148.2263,-137.35217,1.7435889,0.27359393,1.4000536,0.08913021
Karla T,"Campinas, SP",913,5,Lugar lindo e comida maravilhosa!,Amigos,"Maravilhoso! Linda Decoração!.Pedimos executivo e foi uma grata surpresa, sabor não faltou...tudo estava perfeito. Atendimento muito gentil, serviço de manobrista e a companhia fizeram um almoço perfeito!",9,,,,,False,2024-01-14,33,204,14,False,sunday,january,2024,482.05072,-286.5241,2176.6167,390.6935,1.3454177,3.8867235,0.6181433,0.6976467
Laurent B,"São Paulo, SP",1,2,Falta de atenção,Casal,"Comida boa, mas atendimento deixa muito a desejar. Talvez o problema seja a liderança. Um francês bem simpático mas que ficou muito preocupado em degustar com um casal de amigos e não prestou atenção no serviço da equipe. Acho que chamamos os garçons pelo menos 10 vezes. Uma pena. Quando levar um bom vinho peçam para trocar a taça pois nem isso fizeram.",0,2.0,1.0,4.0,3.0,False,2023-12-15,16,355,15,True,friday,december,2023,-413.78848,-58.496315,1993.789,-488.9101,-3.7587445,-1.8094845,1.2798518,0.16953771
RCHW,"São Paulo, SP",32,3,Não me surpreendeu!,Amigos,"Estive ontem com amigas. O serviço precisa melhorar. O serviço é cortês, mas falta agilidade e treinamento. Precisávamos ficar chamando o garçom. Tive que pedir gelo 3x. Minhas amigas compartilharam o cardápio, pois não se atentaram que uma amiga chegou 15 minutos depois. O suco de tangerina é de garrafa e ninguém avisou! Depois questionei e eles disseram que não trabalham com sucos naturais. Uma pena! O segundo prato demorou muito para chegar e quase desistimos de esperar. Entre um prato e outro foram uns 20 minutos. A comida não é ruim, mas não me encantou e não fiquei com aquela vontade de voltar. A música é meio alta. A decoração achei um pouco kitsch.",0,,,,,False,2023-11-17,19,664,17,True,friday,november,2023,-356.56137,246.74304,2068.5652,-451.27798,0.81122255,-3.196027,1.2991817,0.17087089
Nubia_Souza,,11,2,Ruim,Amigos,"No dia 14/11 me reuni com alguns amigos e fui ao Lvtetia para jantarmos, ao chegarmos fomos super bem recebidos e impressionados com a beleza do local, porem o ar nao estava funcionando e pedimos p trocar de mesa, apos a troca, o negocio descambou, muita demora no atendimento e os garços meio irritados quando a gente chamada, chegando a chamar com ironia, o pior ocorreu com minha amiga que é bariatrica e nao conseguiu comer o seu prato, entao ela chamou  e pediu p levar, e o gerente frances foi super mal educado e irritado, alegando que nao podia nesse caso, ela pediu p pagar metade do valor, e deu as costas dizendo que ia ver o que ia fazer sendo que e lei. Enfim decepcionada.",0,2.0,1.0,3.0,5.0,False,2023-11-15,4,686,15,True,wednesday,november,2023,-375.6199,270.31058,2068.229,-471.041,0.99596983,-3.5173497,1.2683166,0.19112791
Mario Augusto M,,1,2,Review,Amigos,"Fomos num grupo de 9 pessoas para almoçar, e chegando lá, pedi pra trocar a cadeira que estava em mas condições, mas falaram que não iam trocar, depois pedimos pratos de apoio e demoraram pra levar. Os couvers foram levando sem solicitarmos e depois foi cobrado mais couvers do que levaram. Não gostamos da recepção e depois mesmo não tendo feito um serviço agradável nos colocaram uma taxa em cima de 13% . Não recomendo.",0,4.0,1.0,5.0,5.0,False,2023-09-21,6,422,21,True,thursday,september,2023,-408.08795,8.13581,2008.3301,-487.2494,-2.4941444,-2.639765,1.3436719,0.14058466
Viviane V,,1,1,Atendimento Péssimo,Casal,"Hoje eu e meu marido tivemos uma  péssima experiência indo ao Lvtetia  onde fomos praticamente ignorados pelos garçons e gerência. Fiquei alguns minutos fazendo sinais aos poucos garçons que lá estavam para pedir nossas bebidas e depois de algum tempo resolveram nos atender. Aproveitamos e já pedimos o couvert e até mesmo os pratos principais porquê já notamos o despreparo do ambiente. Para nossa maior indignação depois de mais um longo tempo percebemos que o couvert poderia vir junto com a refeição e acabamos cancelando. O garçom não quis saber o motivo do cancelamento , simplesmente sumiu novamente e nosso prato principal também nunca chegava, o que nos fez também desistir dele e ir embora sem almoçar.",0,3.0,1.0,,2.0,False,2023-09-16,19,713,16,False,saturday,september,2023,-383.27393,298.20444,2071.9482,-480.10416,1.3084863,-3.4515126,1.5190151,0.0
Lucas A Theodoro,"São Paulo, SP",31,5,Restaurante digno de um masterchef,Casal,"Bom ambiente, comida fresca e de ótima qualidade.
									Garçons atenciosos.
									O som ambiente também muito agradável.
									Comemos um saltimbuco de mignon estava um
									Ponto bom da carne e da massa",0,,,,,False,2023-09-15,34,216,15,True,friday,september,2023,-395.72998,-199.36963,1970.7218,-463.30582,-5.447585,0.88135815,0.6963278,0.64851683
Bárbara Lespinasse,"Ribeirão Preto, SP",8,2,Atendimento ruim e pratos sem graça,Amigos,"A casa estava vazia quando chegamos e mesmo assim ficamos muito tempo para sermos atendidos. Estávamos em 6 pessoas e nos colocaram numa mesa grande no fundo. Depois de esperar muito tempo fomos chamar o garçom, que avisou que o garçom da nossa área não tinha chegado ainda, então ele ia fazer o favor de nos atender.
									A gente chamava, levantava as mãos, bem constrangedor.
									De forma geral o atendimento é muito lento.
									Os pratos chegaram e a apresentação era bem sem graça. O gosto não tinha nada de mais. Eu esperava muito mais de um restaurante do Jacquin.
									Pedi um macarrão com um ragu de calabresa. Veio um macarrão com 3 fatias de calabresa em cima, muito aquém de um ragu.
									Já comi em restaurantes mais simples e muito melhores.
									Definitivamente esse restaurante passa longe de atender as expectativas .",0,,,,,False,2023-09-08,35,858,8,True,friday,september,2023,-363.92496,442.25494,2105.3655,-469.77042,2.2286234,-3.67743,1.4358903,0.06083923
Claudia A,,1,5,Abraão Peteira,Família,"O Abraão Pedreira, garçons do restaurante do Eric J.
									Faz a diferença no local. Atencioso. Preocupado com  a satisfação do cliente.
									Querido
									Senão fosse o Abraão eu não ficaria no local.",0,,,,,False,2023-08-19,14,211,19,False,saturday,august,2023,-426.06055,-202.00519,1962.3608,-492.45264,-6.1297216,0.53415513,0.7469752,0.56907684
Cyla C,"Santo André, SP",62,5,Experiência gastronômica nota dez!,Família,Comida de excelente qualidade e atendimento maravilhoso.Um menu delicado e que permite escolhas variadas dentro da culinária italiana e francesa.Fomos atendidos pelo garçom Abraão que nos acompanhou durante toda nossa maravilhosa refeição.Da entrada ao café nota dez!!Com certeza voltaremos em breve.,0,,,,,False,2023-07-22,34,300,22,False,saturday,july,2023,-357.68784,-118.34746,1996.3998,-431.22134,-3.8215673,-0.08584625,0.6670866,0.6648598
Gloria M,,1,3,Som muito alto.,Amigos,"Lugar bem decorado ,boa comida ,porém com som ambiente altíssimo ,que chega a deixar o local desagradável de frequentar.Uma pena !",0,4.0,4.0,5.0,1.0,False,2023-07-21,15,130,21,True,friday,july,2023,-432.96912,-282.70346,1944.7103,-494.4584,-6.845413,1.5224634,1.0176241,0.39464098
PeterSorger,"São Paulo, SP",543,3,Precisa melhorar,Casal,"Casa e agradável e possui um
									menu interessante com refeições saborosas… mas o serviço e lento de demorado… custou muito em receber a conta",3,,,,,False,2023-07-21,16,147,21,True,friday,july,2023,108.51595,-311.94742,2076.0007,31.079008,-0.4178257,3.9100995,1.0211822,0.35252073
Livia M,,1,1,Péssimo atendimento no Lvtetia,Amigos,"No dia 10/07/23, fui ao restaurante Lvtetia que fica na Consolação em São Paulo para almoçar com uma amiga.
									Na oportunidade, pedimos o menu executivo. Nunca tinha ido ao local e fiquei extremamente desapontada com o atendimento. Quando sentamos na mesa, após uma longa espera de 40 minutos, nenhum garçom veio trazer o cardápio. Muito pelo contrário. Eles evitavam olhar para gente para, assim, não o chamarmos. Depois de muita insistência, um garçom finalmente nos atendeu e trouxe o menu.
									A entrada, de fato, veio rápido. Contudo, o prato principal e a sobremesa levaram uma eternidade pra chegar. Reclamamos inúmeras vezes com os garçons e eles nada fizeram. Além de estarmos com fome, tínhamos horário e não podíamos esperar horas entre os intervalos dos pratos.
									Por fim, hoje, ao entrar no Instagram do restaurante, descubro que, no menu executivo que pedimos, tinha incluído o couvert. Ocorre que ninguém nos ofereceu, ninguém nos explicou absolutamente nada. O restaurante é realmente muito caro para o atendimento que tivemos. Atendimento esse que eles cobram 13% pelo serviço. É uma desrespeito absurdo com o consumidor. Só recomendo vocês irem ao local se quiserem ser mal atendidos.",1,1.0,1.0,3.0,,False,2023-07-11,30,1220,11,True,tuesday,july,2023,-340.0497,803.45667,2182.6733,-467.63327,3.6762075,-3.4287245,1.4172938,0.06907112
Marcelo Petroni,,6,2,Atendimento lento e padrão minimo abaixo,Família,Atendimento lento. Pedi uma taça de vinho e veio menos de 90 ml (conforme foto anex). Alegaram que é o padrão da casa. Muito abaixo do padrao de restaurantes de alto nivel em sp. Que gira em torno de 150 a 180 ml. Pratos pequenos. Portanto não vão com fome. Boa qualidade na harmonização. Não voltaria. Muitos restaurantes com melhor atendimento e quantidade mínima padrão.,1,1.0,1.0,3.0,,False,2023-06-22,40,373,22,True,thursday,june,2023,-407.25876,-40.779728,1999.2137,-483.6931,-3.2851527,-2.1374784,1.2749377,0.16930784
Deodora bertoloti,"Rio das Ostras, RJ",5,5,Só elogios,Negócios,"Almoço perfeito,com ressalva para o atendimento detalhado e o carinho do Chef. O bar do Vaticano é um imenso diferencial de uma casa que oferece alta gastronomia. Drinks perfeitamente executados e boa música. Só elogios.",0,5.0,5.0,5.0,,False,2023-06-06,10,220,6,True,tuesday,june,2023,-421.30466,-193.38371,1965.1124,-488.31216,-5.9194393,0.26101878,0.57077783,0.70218474
SergioBMenezes,"Barretos, SP",113,5,Combinação perfeita de fatores!,Amigos,"Tudo perfeito no Lvtetia (Lutécia) desde a chegada à partida. Excelente acolhimento pelo Yann, Gerente da casa, a simpatia do Chef Érick Jacquin, o serviço hiper atento, a comida e o bar Vaticano no subsolo, que traz só feras pra se apresentarem lá. Tudo perfeito. Fui com um casal de amigos, que também adoraram a experiência, pois superou as melhores expectativas dele. Ontem, indiquei o restaurante a clientes e eles hoje me agradeceram pela excelência de comida, serviços e ambiente que são a combinação perfeita para uma avaliação 100% perfeita, e, novamente elogiaram a atenção do Gerente da casa, Yann.",9,,,,,False,2023-05-19,31,609,19,True,friday,may,2023,-280.52246,185.1379,2075.7798,-374.17383,0.573457,-2.370216,0.5694719,0.7107964
Amanda M,"Caxias Do Sul, RS",233,5,Expectativas atingidas com sucesso!,Amigos,"Fantástico! Já tinha uma expectativa alta, mas mesmo assim, superou minhas expectativas.  Fomos sem reserva antecipada e escolhemos o  Menu Executivo e estava divino, desde o antipasti até a sobremesa. Pela comida e serviço prestado achamos o valor super em conta! Com certeza, indo a São Paulo, voltarei ao restaurante!",0,5.0,5.0,5.0,,False,2023-05-16,35,320,16,True,tuesday,may,2023,-185.6041,-112.97218,2040.9735,-265.0455,-1.9937179,1.8322842,0.6396346,0.6860999
Carolina,,231,4,Gostoso,Amigos,"O restaurante é muito bonito, os garçons atenciosos e a comida gostosa. Espera mais sabor da comida, pedi o menu executivo, eu como pouco para mim foi suficiente, mas acredito que a porção seja pequena. Tudo gostoso mas muito normal.",0,,,,,False,2023-05-08,7,233,8,True,monday,may,2023,-195.01788,-199.72075,2021.1104,-269.02368,-2.5807328,2.6368673,0.8309738,0.54384565
Cupcake L,"São Paulo, SP",263,5,Divino,Amigos,"Superou minhas expectativas,  que há eram altas.
									Atendimento maravilhoso e a comida mais que perfeita.
									Ravioli de gema estava divino.
									Preço bom, lugar super aconchegante, e agradável.",8,5.0,5.0,5.0,,False,2023-05-08,6,210,8,True,monday,may,2023,-165.08658,-225.3859,2023.6274,-238.57965,-2.3368566,3.1145244,0.569546,0.7365417
Isa Piza,"Bauru, SP",694,4,"Decoração Bonita, local agadável.",Casal,"Restaurante muito bonito, bem decorado e agradável. Atendentes simpáticos e rápidos.
									Couvert gostoso com pães quentinhos. Drinks pequenos na minha opinião, principalmente em relação ao preço. Pratos principais muito bem apresentados, mas esperava mais, gostosos, mas sem aquela explosão de sabor (Lasanha da Casa e Ravioli de espinafre). Sobremesas Tiramisu bom e Torta de maça com sorvete que senti falta de uma porção maior de sorvete (a porção era menor que uma colher de sobremesa) principalmente para garantir o contraste do quente da torta com o gelado. Valeu para conhecer.",0,2.0,4.0,3.0,,False,2023-04-04,33,589,4,True,tuesday,april,2023,296.65237,115.76089,2208.06,188.25192,1.7950094,1.9290534,0.84336156,0.5143568
Karen L,"Itaperuna, RJ",80,5,Vale muito a pena!!!,Amigos,"Primeiramente falar do atendimento: PERFEITO!
									Tanto do metrie quanto dos garçons! Todos muito bem alinhados , sabem detalhes de todos os pratos e atendem com muita rapidez e eficiência !
									A comida, um elogio a parte! Tudo muito perfeito, rápido e gostoso! A entrada de carpaccio estava divina!
									Enfim, não é barato, mas vale cada centavo gastado lá! Recomendo e volto com certeza",3,,,,,True,2023-03-15,20,404,15,True,wednesday,march,2023,-330.88632,-16.384655,2023.0979,-411.15726,-2.0078855,-1.2997011,0.67650044,0.65075964
